group,part_num,block,trial_num,ratio,choice,decision,true_pos,false_neg,false_pos,true_neg
Pressure Group,102,1,1,0.6,0,0,1,0,0,0
Pressure Group,102,1,10,1.4,0,1,0,0,0,1
Pressure Group,102,1,11,1.3,0,1,0,0,0,1
Pressure Group,102,1,12,1.2,1,0,0,0,1,0
Pressure Group,102,1,13,1.1,0,1,0,0,0,1
Pressure Group,102,1,14,1,0,0,1,0,0,0
Pressure Group,102,1,15,0.9,0,0,1,0,0,0
Pressure Group,102,1,16,0.8,0,0,1,0,0,0
Pressure Group,102,1,17,0.7,0,0,1,0,0,0
Pressure Group,102,1,18,0.6,0,0,1,0,0,0
Pressure Group,102,1,19,0.6,0,0,1,0,0,0
Pressure Group,102,1,2,0.7,0,0,1,0,0,0
Pressure Group,102,1,20,0.7,0,0,1,0,0,0
Pressure Group,102,1,21,0.8,0,0,1,0,0,0
Pressure Group,102,1,22,0.9,0,0,1,0,0,0
Pressure Group,102,1,23,1,0,0,1,0,0,0
Pressure Group,102,1,24,1.1,1,0,0,0,1,0
Pressure Group,102,1,25,1.2,0,1,0,0,0,1
Pressure Group,102,1,26,1.3,0,1,0,0,0,1
Pressure Group,102,1,27,1.4,0,1,0,0,0,1
Pressure Group,102,1,28,1.4,0,1,0,0,0,1
Pressure Group,102,1,29,1.3,0,1,0,0,0,1
Pressure Group,102,1,3,0.8,0,0,1,0,0,0
Pressure Group,102,1,30,1.2,0,1,0,0,0,1
Pressure Group,102,1,31,1.1,0,1,0,0,0,1
Pressure Group,102,1,32,1,0,0,1,0,0,0
Pressure Group,102,1,33,0.9,0,0,1,0,0,0
Pressure Group,102,1,34,0.8,0,0,1,0,0,0
Pressure Group,102,1,35,0.7,0,0,1,0,0,0
Pressure Group,102,1,36,0.6,0,0,1,0,0,0
Pressure Group,102,1,37,0.6,0,0,1,0,0,0
Pressure Group,102,1,38,0.7,0,0,1,0,0,0
Pressure Group,102,1,39,0.8,0,0,1,0,0,0
Pressure Group,102,1,4,0.9,0,0,1,0,0,0
Pressure Group,102,1,40,0.9,0,0,1,0,0,0
Pressure Group,102,1,41,1,0,0,1,0,0,0
Pressure Group,102,1,42,1.1,0,1,0,0,0,1
Pressure Group,102,1,43,1.2,0,1,0,0,0,1
Pressure Group,102,1,44,1.3,0,1,0,0,0,1
Pressure Group,102,1,45,1.4,0,1,0,0,0,1
Pressure Group,102,1,46,1.4,0,1,0,0,0,1
Pressure Group,102,1,47,1.3,0,1,0,0,0,1
Pressure Group,102,1,48,1.2,0,1,0,0,0,1
Pressure Group,102,1,49,1.1,1,0,0,0,1,0
Pressure Group,102,1,5,1,0,0,1,0,0,0
Pressure Group,102,1,50,1,0,0,1,0,0,0
Pressure Group,102,1,51,0.9,0,0,1,0,0,0
Pressure Group,102,1,52,0.8,0,0,1,0,0,0
Pressure Group,102,1,53,0.7,0,0,1,0,0,0
Pressure Group,102,1,54,0.6,0,0,1,0,0,0
Pressure Group,102,1,55,0.6,0,0,1,0,0,0
Pressure Group,102,1,56,0.7,0,0,1,0,0,0
Pressure Group,102,1,57,0.8,0,0,1,0,0,0
Pressure Group,102,1,58,0.9,0,0,1,0,0,0
Pressure Group,102,1,59,1,0,0,1,0,0,0
Pressure Group,102,1,6,1.1,0,1,0,0,0,1
Pressure Group,102,1,60,1.1,0,1,0,0,0,1
Pressure Group,102,1,61,1.2,0,1,0,0,0,1
Pressure Group,102,1,62,1.3,0,1,0,0,0,1
Pressure Group,102,1,63,1.4,0,1,0,0,0,1
Pressure Group,102,1,64,1.4,0,1,0,0,0,1
Pressure Group,102,1,65,1.3,0,1,0,0,0,1
Pressure Group,102,1,66,1.2,1,0,0,0,1,0
Pressure Group,102,1,67,1.1,0,1,0,0,0,1
Pressure Group,102,1,68,1,0,0,1,0,0,0
Pressure Group,102,1,69,0.9,0,0,1,0,0,0
Pressure Group,102,1,7,1.2,0,1,0,0,0,1
