timestep, heading, speed, pos_X, pos_Z,goal_X,goal_z,npc1_x,npc1_z,npc2_x,npc2_z,pacesetter_x,pacesetter_z,thruAperture, crtl_pad_X, ctrl_pad_Y, ctrl_Trigger, ctrl_Pad_Click, ctrl_Pad_Touch, ctrl_Grip_Click,head_6DOF_fwd_X,head_6DOF_fwd_Y,head_6DOF_fwd_Z,head_6DOF_up_X,head_6DOF_up_Y,head_6DOF_up_Z,head_6DOF_pos_X,head_6DOF_pos_Y,head_6DOF_pos_Z,ctrl_6DOF_fwd_X,ctrl_6DOF_fwd_Y,ctrl_6DOF_fwd_Z,ctrl_6DOF_up_X,ctrl_6DOF_up_Y,ctrl_6DOF_up_Z,ctrl_6DOF_pos_X,ctrl_6DOF_pos_Y,ctrl_6DOF_pos_Z,chest_6DOF_fwd_X,chest_6DOF_fwd_Y,chest_6DOF_fwd_Z,chest_6DOF_up_X,chest_6DOF_up_Y,chest_6DOF_up_Z,chest_6DOF_pos_X,chest_6DOF_pos_Y,chest_6DOF_pos_Zchair_6DOF_fwd_X,chair_6DOF_fwd_Y,chair_6DOF_fwd_Z,chair_6DOF_up_X,chair_6DOF_up_Y,chair_6DOF_up_Z,chair_6DOF_pos_X,chair_6DOF_pos_Y,chair_6DOF_pos_Z
0,19.21535,5,22.02144,-52.54434,37.53789,-21.17175,23.70546,-31.46452,33.59854,-32.92294,,,False,0,0,0,FALSE,FALSE,FALSE,0.4466772,0.1428629,0.8832155,-0.01957511,0.9884934,-0.149992,0.04062819,1.502204,0.01824406,0,0,1,0,1,0,0,0,0,-0.5217702,-0.006171275,-0.8530637,0.1389741,0.9860007,-0.09213546,-0.05853319,1.253797,-0.2095394,-0.3572664,0.04696026,-0.9328212,0.4828858,0.8641855,-0.1414382,-0.04204476,0.9978682,-0.197921
0.0192158,31.45173,5,22.07157,-52.46238,37.53789,-21.17175,23.72189,-31.52244,33.56609,-32.97365,,,False,0,0,0,FALSE,FALSE,FALSE,0.4471017,0.1438977,0.8828326,-0.01986305,0.9883291,-0.1510337,0.04078997,1.502268,0.01819962,0,0,1,0,1,0,0,0,0,-0.5223262,-0.006370649,-0.852722,0.1386069,0.9860398,-0.09226891,-0.05855304,1.25379,-0.2094361,-0.3571617,0.04718048,-0.9328505,0.4827851,0.8642919,-0.1411315,-0.04199916,0.9978668,-0.1977506
0.0287669,31.48912,5,22.09651,-52.42166,37.53789,-21.17175,23.73006,-31.55123,33.54996,-32.99886,,,False,0,0,0,FALSE,FALSE,FALSE,0.4477932,0.1446963,0.8823515,-0.02008457,0.9881977,-0.1518611,0.04092497,1.502295,0.01818394,0,0,1,0,1,0,0,0,0,-0.523008,-0.006965362,-0.8522995,0.1383775,0.986006,-0.09297255,-0.05872166,1.253831,-0.2093602,-0.3573806,0.0471614,-0.9327675,0.4828298,0.8642402,-0.1412948,-0.04197419,0.9978386,-0.1975833
0.038218,31.53509,5,22.12123,-52.38138,37.53789,-21.17175,23.73814,-31.57972,33.534,-33.0238,,,False,0,0,0,FALSE,FALSE,FALSE,0.4483249,0.1448645,0.8820539,-0.0200191,0.98816,-0.1521157,0.04110792,1.502303,0.01807033,0,0,1,0,1,0,0,0,0,-0.5235241,-0.007573593,-0.8519772,0.1380131,0.9860004,-0.09357147,-0.05874866,1.253723,-0.2092112,-0.3575182,0.04745288,-0.9326998,0.4828818,0.8642387,-0.1411262,-0.0417257,0.9976147,-0.1971554
0.0468457,31.56995,5,22.14381,-52.34463,37.53789,-21.17175,23.74552,-31.60572,33.51943,-33.04657,,,False,0,0,0,FALSE,FALSE,FALSE,0.4489872,0.1447356,0.8817381,-0.02010098,0.9881803,-0.1519723,0.04126452,1.502307,0.01809593,0,0,1,0,1,0,0,0,0,-0.52401,-0.007837493,-0.8516761,0.1379761,0.9859681,-0.09396575,-0.05880618,1.253713,-0.209105,-0.3580624,0.04741723,-0.9324929,0.482696,0.8642981,-0.141398,-0.04169011,0.997577,-0.1969763
0.0565585,31.6027,5,22.16926,-52.30326,37.53789,-21.17175,23.75383,-31.635,33.50303,-33.0722,,,False,0,0,0,FALSE,FALSE,FALSE,0.4495048,0.1450152,0.8814284,-0.02033456,0.9881403,-0.1522016,0.04140767,1.502337,0.01804944,0,0,1,0,1,0,0,0,0,-0.5249812,-0.008233596,-0.8510741,0.1376022,0.9859771,-0.09441799,-0.05884093,1.253715,-0.2089857,-0.3588342,0.04749618,-0.9321921,0.4826339,0.8642756,-0.1417474,-0.04164267,0.9975541,-0.1968107
0.0675716,31.66817,5,22.19817,-52.2564,37.53789,-21.17175,23.76325,-31.66819,33.48443,-33.10126,,,False,0,0,0,FALSE,FALSE,FALSE,0.4494448,0.1451902,0.8814301,-0.02026381,0.9881066,-0.1524294,0.04161683,1.502413,0.01803415,0,0,1,0,1,0,0,0,0,-0.5255019,-0.008625042,-0.8507487,0.1375505,0.9859323,-0.09495962,-0.05878347,1.253647,-0.2087957,-0.359095,0.04771864,-0.9320803,0.4829826,0.8640658,-0.1418382,-0.04138762,0.9974658,-0.1964529
0.0792549,31.70335,5,22.22887,-52.2067,37.53789,-21.17175,23.77324,-31.70341,33.4647,-33.1321,,,False,0,0,0,FALSE,FALSE,FALSE,0.449466,0.145617,0.881349,-0.02041317,0.9880409,-0.1528345,0.0417077,1.502461,0.01799997,0,0,1,0,1,0,0,0,0,-0.5258763,-0.0089342,-0.8505143,0.1373412,0.985931,-0.09527531,-0.05874437,1.253636,-0.2087139,-0.3593816,0.04780429,-0.9319655,0.4832393,0.8638903,-0.1420328,-0.04133159,0.9974671,-0.1963084
0.1011008,31.72867,5,22.28632,-52.1138,37.53789,-21.17175,23.79193,-31.76925,33.42781,-33.18975,,,False,0,0,0,FALSE,FALSE,FALSE,0.4495153,0.1458313,0.8812884,-0.02046251,0.9880061,-0.1530532,0.04180865,1.502478,0.01802913,0,0,1,0,1,0,0,0,0,-0.5256315,-0.009324178,-0.8506613,0.1375676,0.9858477,-0.09581028,-0.05866057,1.2537,-0.2087718,-0.3597002,0.04794731,-0.9318354,0.4836338,0.8636337,-0.1422507,-0.04084599,0.9970893,-0.1957695
0.1171064,31.71231,5,22.32838,-52.04572,37.53789,-21.17175,23.80562,-31.81749,33.40078,-33.23199,,,False,0,0,0,FALSE,FALSE,FALSE,0.4492386,0.1459211,0.8814147,-0.01997649,0.9879655,-0.1533793,0.04193094,1.502465,0.01805012,0,0,1,0,1,0,0,0,0,-0.5256298,-0.009644773,-0.8506588,0.137619,0.9858012,-0.09621303,-0.0585984,1.253699,-0.2087485,-0.3597077,0.0478217,-0.9318388,0.4838278,0.8634917,-0.1424527,-0.04115546,0.9974298,-0.195865
0.1274857,31.71229,5,22.35566,-52.00157,37.53789,-21.17175,23.81449,-31.84878,33.38326,-33.25938,,,False,0,0,0,FALSE,FALSE,FALSE,0.4492108,0.1455074,0.8814971,-0.01986228,0.9880311,-0.1529709,0.04198041,1.502489,0.01800746,0,0,1,0,1,0,0,0,0,-0.5252998,-0.009869769,-0.8508602,0.1381401,0.9856789,-0.0967179,-0.05852312,1.253703,-0.2087486,-0.3601268,0.04782937,-0.9316765,0.4839135,0.8633986,-0.1427259,-0.04111129,0.9974259,-0.1956887
0.1364493,31.69014,5,22.37921,-51.96343,37.53789,-21.17175,23.82216,-31.8758,33.36812,-33.28304,,,False,0,0,0,FALSE,FALSE,FALSE,0.4488612,0.1452809,0.8817126,-0.01984253,0.9880726,-0.1527046,0.04207232,1.502462,0.01800387,0,0,1,0,1,0,0,0,0,-0.5251048,-0.01002654,-0.8509787,0.1385251,0.9855883,-0.09709083,-0.05853337,1.253769,-0.2087159,-0.3605386,0.04812971,-0.9315019,0.4839156,0.8634036,-0.1426888,-0.04109251,0.9974182,-0.1955509
