timestep, heading, speed, pos_X, pos_Z,goal_X,goal_z,npc1_x,npc1_z,npc2_x,npc2_z,pacesetter_x,pacesetter_z,thruAperture, crtl_pad_X, ctrl_pad_Y, ctrl_Trigger, ctrl_Pad_Click, ctrl_Pad_Touch, ctrl_Grip_Click,head_6DOF_fwd_X,head_6DOF_fwd_Y,head_6DOF_fwd_Z,head_6DOF_up_X,head_6DOF_up_Y,head_6DOF_up_Z,head_6DOF_pos_X,head_6DOF_pos_Y,head_6DOF_pos_Z,ctrl_6DOF_fwd_X,ctrl_6DOF_fwd_Y,ctrl_6DOF_fwd_Z,ctrl_6DOF_up_X,ctrl_6DOF_up_Y,ctrl_6DOF_up_Z,ctrl_6DOF_pos_X,ctrl_6DOF_pos_Y,ctrl_6DOF_pos_Z,chest_6DOF_fwd_X,chest_6DOF_fwd_Y,chest_6DOF_fwd_Z,chest_6DOF_up_X,chest_6DOF_up_Y,chest_6DOF_up_Z,chest_6DOF_pos_X,chest_6DOF_pos_Y,chest_6DOF_pos_Zchair_6DOF_fwd_X,chair_6DOF_fwd_Y,chair_6DOF_fwd_Z,chair_6DOF_up_X,chair_6DOF_up_Y,chair_6DOF_up_Z,chair_6DOF_pos_X,chair_6DOF_pos_Y,chair_6DOF_pos_Z
0,231.0508,5,-119.6834,-48.66436,-135.9418,-79.65897,-129.0532,-69.45508,-135.8404,-62.1111,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4429608,-0.005675883,-0.8965231,-0.008822043,0.9999591,-0.001971875,-0.1213811,1.714573,0.1016851,0,0,1,0,1,0,0,0,0,0.4508348,-0.00972452,0.8925545,-0.08309761,0.9951409,0.05281533,-0.01182264,1.420539,0.3322892,0.4565393,0.2776329,0.8452762,0.02677512,0.9453476,-0.324963,-0.001961052,1.085871,0.2877942
0.0197658,206.7986,5,-119.728,-48.75258,-135.9418,-79.65897,-129.0229,-69.38383,-135.767,-62.08652,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4431293,-0.00548737,-0.896441,-0.008572082,0.9999615,-0.001883692,-0.1212028,1.714535,0.1019915,0,0,1,0,1,0,0,0,0,0.4504414,-0.009832699,0.8927518,-0.082862,0.995163,0.05276899,-0.01194429,1.42048,0.3322572,0.4566111,0.277338,0.8453342,0.0269914,0.9454141,-0.3247518,-0.002103388,1.085791,0.2876931
0.0304138,206.7734,5,-119.7519,-48.80011,-135.9418,-79.65897,-129.0066,-69.34546,-135.7275,-62.07327,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4433996,-0.005664239,-0.8963062,-0.008725756,0.9999599,-0.002002682,-0.1211439,1.714587,0.1021432,0,0,1,0,1,0,0,0,0,0.450158,-0.009609012,0.8928972,-0.08305356,0.9951569,0.05258131,-0.01175261,1.420516,0.332619,0.4565651,0.2772052,0.8454027,0.02714126,0.9454396,-0.3246648,-0.002294123,1.08573,0.287581
0.04046,206.7552,5,-119.7745,-48.84496,-135.9418,-79.65897,-128.9913,-69.30925,-135.6902,-62.06078,,,False,0,0,0,FALSE,FALSE,FALSE,-0.443477,-0.005808098,-0.8962669,-0.009226365,0.9999556,-0.001914786,-0.121276,1.714519,0.1019149,0,0,1,0,1,0,0,0,0,0.4498681,-0.009726968,0.8930421,-0.08276068,0.9951841,0.05253001,-0.0118894,1.420468,0.3325712,0.4561282,0.2769028,0.8457375,0.02724856,0.9455673,-0.3242839,-0.002074957,1.085866,0.2879466
0.0503555,206.7366,5,-119.7968,-48.88915,-135.9418,-79.65897,-128.9761,-69.27359,-135.6534,-62.04847,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4436754,-0.005696775,-0.8961697,-0.009367678,0.9999546,-0.00171877,-0.1211522,1.714316,0.1022058,0,0,1,0,1,0,0,0,0,0.4495592,-0.009736158,0.8931975,-0.08291212,0.9951689,0.05257854,-0.01202828,1.420386,0.3324972,0.455938,0.277117,0.8457699,0.0272108,0.9455064,-0.3244646,-0.002302229,1.085827,0.2878466
0.0616996,206.7168,5,-119.8223,-48.93982,-135.9418,-79.65897,-128.9587,-69.2327,-135.6113,-62.03436,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4435861,-0.006182384,-0.8962104,-0.009496698,0.9999525,-0.002197572,-0.1211232,1.714321,0.10239,0,0,1,0,1,0,0,0,0,0.4494151,-0.00986135,0.8932686,-0.08276606,0.9951785,0.05262709,-0.01174861,1.420375,0.3329268,0.4555541,0.2774067,0.8458818,0.02750037,0.9453679,-0.3248436,-0.002001166,1.086026,0.2882416
0.0728609,206.7076,5,-119.8474,-48.98967,-135.9418,-79.65897,-128.9416,-69.19247,-135.5699,-62.02048,,,False,0,0,0,FALSE,FALSE,FALSE,-0.443633,-0.006519268,-0.8961849,-0.009839237,0.9999487,-0.002403436,-0.1212548,1.714261,0.102303,0,0,1,0,1,0,0,0,0,0.449365,-0.01014409,0.8932906,-0.08234148,0.9952086,0.05272289,-0.01187313,1.420328,0.332858,0.4553441,0.2778212,0.8458588,0.0271766,0.9452864,-0.3251078,-0.002164721,1.085902,0.2882124
0.0975846,206.7044,5,-119.9029,-49.10011,-135.9418,-79.65897,-128.9037,-69.10336,-135.478,-61.98973,,,False,0,0,0,FALSE,FALSE,FALSE,-0.44379,-0.00677716,-0.8961053,-0.01037833,0.9999432,-0.002422682,-0.1210908,1.714168,0.1027296,0,0,1,0,1,0,0,0,0,0.4491622,-0.01046645,0.8933889,-0.0822714,0.9951985,0.05302215,-0.01162404,1.420382,0.3334411,0.4547674,0.2772957,0.8463414,0.02795967,0.9453802,-0.3247685,-0.002125323,1.085957,0.2885873
0.1145186,206.6915,5,-119.941,-49.17575,-135.9418,-79.65897,-128.8778,-69.04232,-135.4152,-61.96868,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4439614,-0.006479887,-0.8960226,-0.01082824,0.9999396,-0.001866218,-0.121344,1.714117,0.1025784,0,0,1,0,1,0,0,0,0,0.449202,-0.01058695,0.8933675,-0.08228725,0.9951894,0.05316918,-0.01160812,1.420269,0.3335313,0.4546953,0.2769789,0.8464838,0.02802914,0.9454936,-0.3244321,-0.002367675,1.085745,0.2885014
0.1247071,206.6941,5,-119.9639,-49.22127,-135.9418,-79.65897,-128.8622,-69.0056,-135.3773,-61.956,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4443635,-0.006456168,-0.8958235,-0.01076177,0.9999403,-0.001868276,-0.1211858,1.714107,0.1028885,0,0,1,0,1,0,0,0,0,0.4493685,-0.01076045,0.8932816,-0.08209391,0.9951991,0.05328578,-0.01173341,1.420191,0.3334779,0.4545591,0.2771433,0.8465032,0.02794541,0.9454567,-0.3245468,-0.002566993,1.085681,0.2884714
0.1349447,206.7048,5,-119.9869,-49.26699,-135.9418,-79.65897,-128.8465,-68.9687,-135.3393,-61.94327,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4449731,-0.006229328,-0.8955222,-0.01088381,0.9999396,-0.001547643,-0.1211348,1.714076,0.1031409,0,0,1,0,1,0,0,0,0,0.4494863,-0.0107158,0.893223,-0.08203084,0.9952078,0.05321873,-0.01157415,1.420116,0.333819,0.4543415,0.2771839,0.8466067,0.02817022,0.9454139,-0.3246519,-0.002394855,1.085804,0.288871
0.1451642,206.7124,5,-120.0098,-49.31264,-135.9418,-79.65897,-128.8308,-68.93187,-135.3013,-61.93056,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4454941,-0.006314821,-0.8952626,-0.01102915,0.999938,-0.001564912,-0.1214628,1.714041,0.1029875,0,0,1,0,1,0,0,0,0,0.4495078,-0.01098362,0.8932089,-0.08207119,0.9951873,0.05354001,-0.01170838,1.420071,0.3337558,0.4542308,0.2768595,0.8467722,0.02828673,0.945524,-0.324321,-0.00266999,1.085614,0.2887587
0.1557143,206.7139,5,-120.0335,-49.35976,-135.9418,-79.65897,-128.8147,-68.89384,-135.2622,-61.91743,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4459836,-0.006164917,-0.8950199,-0.01105091,0.999938,-0.001380984,-0.1213405,1.714032,0.1032981,0,0,1,0,1,0,0,0,0,0.4495301,-0.01084232,0.8931994,-0.08210909,0.9951915,0.0534043,-0.01184404,1.420036,0.333672,0.4542226,0.2767774,0.8468035,0.02815185,0.945582,-0.3241637,-0.002880394,1.085528,0.2886955
0.1656448,206.7152,5,-120.0559,-49.40411,-135.9418,-79.65897,-128.7995,-68.85805,-135.2253,-61.90508,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4465302,-0.006244726,-0.8947469,-0.01159389,0.9999321,-0.001192827,-0.1213734,1.714065,0.103573,0,0,1,0,1,0,0,0,0,0.4500291,-0.01049084,0.8929523,-0.08223913,0.995195,0.05313883,-0.01179767,1.420124,0.3337238,0.4540429,0.2767721,0.8469015,0.028538,0.945523,-0.324302,-0.002555311,1.085699,0.2891375
0.1758064,206.7471,5,-120.0787,-49.44948,-135.9418,-79.65897,-128.7839,-68.82143,-135.1876,-61.89245,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4474175,-0.006346921,-0.8943027,-0.01199061,0.9999275,-0.001097673,-0.1216894,1.714008,0.1034403,0,0,1,0,1,0,0,0,0,0.4500783,-0.01051347,0.8929272,-0.0822094,0.9951965,0.05315509,-0.01193601,1.420081,0.3336688,0.4540926,0.2765325,0.8469532,0.02834649,0.9456479,-0.3239545,-0.00284034,1.08554,0.2890504
0.1867801,206.7503,5,-120.1034,-49.49848,-135.9418,-79.65897,-128.7671,-68.78188,-135.1468,-61.8788,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4480283,-0.006506336,-0.8939959,-0.01198643,0.9999273,-0.001270255,-0.1216963,1.713923,0.1037672,0,0,1,0,1,0,0,0,0,0.4497765,-0.01062338,0.893078,-0.08232237,0.9951796,0.05329751,-0.01210147,1.420021,0.3336007,0.4541729,0.2764971,0.8469217,0.02839322,0.9456465,-0.3239544,-0.00306195,1.085444,0.2890105
0.197926,206.731,5,-120.1285,-49.54825,-135.9418,-79.65897,-128.75,-68.7417,-135.1054,-61.86494,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4489737,-0.006523668,-0.8935212,-0.01210048,0.999926,-0.001220329,-0.1217101,1.713894,0.1040466,0,0,1,0,1,0,0,0,0,0.4502034,-0.01075164,0.8928613,-0.08210977,0.9951924,0.05338572,-0.01207274,1.419875,0.3339815,0.4541873,0.276002,0.8470755,0.02897462,0.9457229,-0.3236799,-0.002731919,1.085626,0.2894569
0.2085508,206.7584,5,-120.1524,-49.59569,-135.9418,-79.65897,-128.7337,-68.7034,-135.0659,-61.85172,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4493763,-0.006410564,-0.8933195,-0.01181316,0.9999295,-0.001233107,-0.1220293,1.713812,0.1040838,0,0,1,0,1,0,0,0,0,0.4504154,-0.01060512,0.8927561,-0.08225116,0.9951843,0.05331941,-0.01222044,1.419803,0.3339048,0.4541805,0.2756405,0.8471968,0.02882086,0.945891,-0.323202,-0.002920926,1.085449,0.2894314
0.2202035,206.772,5,-120.1787,-49.64771,-135.9418,-79.65897,-128.7159,-68.6614,-135.0227,-61.83723,,,False,0,0,0,FALSE,FALSE,FALSE,-0.450144,-0.006462069,-0.8929327,-0.01199226,0.9999274,-0.001190859,-0.1220566,1.713741,0.1043724,0,0,1,0,1,0,0,0,0,0.4508594,-0.01078044,0.8925299,-0.08212592,0.9951846,0.05350608,-0.01235765,1.419712,0.333839,0.4541498,0.2753768,0.847299,0.02908152,0.9459437,-0.3230245,-0.003155112,1.085348,0.2893787
0.2320875,206.8005,5,-120.2055,-49.70074,-135.9418,-79.65897,-128.6977,-68.61858,-134.9785,-61.82245,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4506266,-0.006803107,-0.8926867,-0.01206542,0.999926,-0.00152977,-0.1220993,1.713702,0.1046705,0,0,1,0,1,0,0,0,0,0.451043,-0.01109242,0.8924333,-0.08196975,0.9951818,0.05379771,-0.01222628,1.41972,0.334212,0.4540173,0.275267,0.8474057,0.02931224,0.9459509,-0.3229826,-0.002935708,1.085457,0.2897121
0.243221,206.8124,5,-120.2306,-49.75042,-135.9418,-79.65897,-128.6806,-68.57844,-134.9372,-61.8086,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4511531,-0.006720875,-0.8924212,-0.01250014,0.9999211,-0.001211163,-0.1223966,1.713635,0.104519,0,0,1,0,1,0,0,0,0,0.4513331,-0.01118767,0.8922854,-0.0822126,0.9951474,0.0540619,-0.01236331,1.419632,0.3341257,0.4540637,0.2751305,0.8474252,0.02908509,0.9460431,-0.3227327,-0.003255486,1.085354,0.2895728
0.2533776,206.8311,5,-120.2535,-49.79574,-135.9418,-79.65897,-128.6651,-68.54183,-134.8995,-61.79597,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4515056,-0.006544502,-0.8922442,-0.01282502,0.9999174,-0.0008443792,-0.1224352,1.713569,0.1049037,0,0,1,0,1,0,0,0,0,0.4517866,-0.01126293,0.892055,-0.08223309,0.9951376,0.05421187,-0.01250619,1.419559,0.3339967,0.4544288,0.2749332,0.8472935,0.02909616,0.9460894,-0.322596,-0.00351584,1.085273,0.2894617
0.2649039,206.8602,5,-120.2795,-49.84715,-135.9418,-79.65897,-128.6474,-68.50029,-134.8567,-61.78164,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4519654,-0.006345832,-0.8920131,-0.01344265,0.9999096,-0.0003022866,-0.1225035,1.71355,0.1051813,0,0,1,0,1,0,0,0,0,0.4521683,-0.01089801,0.891866,-0.08232696,0.9951468,0.05389908,-0.012128,1.419573,0.3343918,0.4545366,0.2749195,0.8472401,0.02927646,0.9460521,-0.3226893,-0.003199875,1.085443,0.2898522
0.2754647,206.8846,5,-120.3034,-49.89425,-135.9418,-79.65897,-128.6312,-68.46223,-134.8175,-61.7685,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4526694,-0.006108764,-0.8916577,-0.01383523,0.9999043,0.000173392,-0.1228265,1.71347,0.1051098,0,0,1,0,1,0,0,0,0,0.4524563,-0.01094577,0.8917194,-0.08215936,0.9951605,0.05390297,-0.01227313,1.419492,0.3343049,0.4546566,0.2751406,0.8471039,0.0287738,0.9460558,-0.3227237,-0.003436863,1.085371,0.2897262
0.2866946,206.9031,5,-120.3288,-49.94432,-135.9418,-79.65897,-128.614,-68.42175,-134.7758,-61.75453,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4531541,-0.006330146,-0.8914098,-0.01430253,0.9998977,0.0001702351,-0.1228746,1.71344,0.1053428,0,0,1,0,1,0,0,0,0,0.4526387,-0.01095542,0.8916267,-0.08209306,0.9951659,0.05390255,-0.01204473,1.419508,0.3345686,0.4551847,0.2750665,0.8468443,0.02889741,0.9460214,-0.3228132,-0.003677964,1.085315,0.2895631
0.2979824,206.9148,5,-120.3544,-49.99465,-135.9418,-79.65897,-128.5967,-68.38107,-134.7338,-61.74049,,,False,0,0,0,FALSE,FALSE,FALSE,-0.453607,-0.00642731,-0.8911787,-0.01417591,0.9998995,4.072208E-06,-0.1229408,1.713434,0.1056161,0,0,1,0,1,0,0,0,0,0.4529589,-0.01105419,0.8914629,-0.08219729,0.9951463,0.05410492,-0.01197386,1.419429,0.334694,0.4554029,0.2750404,0.8467355,0.02923677,0.94595,-0.3229921,-0.003308833,1.085528,0.2898794
0.3094867,206.9355,5,-120.3804,-50.04593,-135.9418,-79.65897,-128.5791,-68.3396,-134.6911,-61.72619,,,False,0,0,0,FALSE,FALSE,FALSE,-0.4542476,-0.006358347,-0.8908529,-0.01430362,0.9998977,0.0001568019,-0.1232531,1.713414,0.105558,0,0,1,0,1,0,0,0,0,0.453325,-0.0110707,0.8912765,-0.08207598,0.9951563,0.05410685,-0.01212615,1.41936,0.3345836,0.4561616,0.274674,0.846446,0.02893594,0.9460919,-0.3226033,-0.003575802,1.085404,0.2897041
