timestep, heading, speed, pos_X, pos_Z,goal_X,goal_z,npc1_x,npc1_z,npc2_x,npc2_z,pacesetter_x,pacesetter_z,thruAperture, crtl_pad_X, ctrl_pad_Y, ctrl_Trigger, ctrl_Pad_Click, ctrl_Pad_Touch, ctrl_Grip_Click,head_6DOF_fwd_X,head_6DOF_fwd_Y,head_6DOF_fwd_Z,head_6DOF_up_X,head_6DOF_up_Y,head_6DOF_up_Z,head_6DOF_pos_X,head_6DOF_pos_Y,head_6DOF_pos_Z,ctrl_6DOF_fwd_X,ctrl_6DOF_fwd_Y,ctrl_6DOF_fwd_Z,ctrl_6DOF_up_X,ctrl_6DOF_up_Y,ctrl_6DOF_up_Z,ctrl_6DOF_pos_X,ctrl_6DOF_pos_Y,ctrl_6DOF_pos_Z,chest_6DOF_fwd_X,chest_6DOF_fwd_Y,chest_6DOF_fwd_Z,chest_6DOF_up_X,chest_6DOF_up_Y,chest_6DOF_up_Z,chest_6DOF_pos_X,chest_6DOF_pos_Y,chest_6DOF_pos_Zchair_6DOF_fwd_X,chair_6DOF_fwd_Y,chair_6DOF_fwd_Z,chair_6DOF_up_X,chair_6DOF_up_Y,chair_6DOF_up_Z,chair_6DOF_pos_X,chair_6DOF_pos_Y,chair_6DOF_pos_Z
0,232.56,5,-314.3701,-506.4492,-323.2263,-540.3102,-320.6307,-528.4157,-327.851,-521.4971,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2440599,-0.008008767,-0.9697272,-0.06636209,0.9977597,0.008461656,-0.04093363,1.596337,-0.01473172,0,0,1,0,1,0,0,0,0,0.3546684,-0.02915847,0.9345374,-0.06717055,0.9961364,0.05657247,0.04647845,1.261115,0.2331442,0.1931584,0.468836,0.8619063,-0.1531345,0.8820899,-0.4454965,0.02787107,0.9997584,0.1811108
0.0202045,200.7824,5,-314.4059,-506.5436,-323.2263,-540.3102,-320.6042,-528.3411,-327.7776,-521.4674,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2435408,-0.00842428,-0.9698541,-0.06623592,0.9977722,0.007965775,-0.04069179,1.5963,-0.01496722,0,0,1,0,1,0,0,0,0,0.3561069,-0.0267317,0.9340628,-0.06928866,0.9960836,0.05492263,0.04674351,1.261248,0.2328662,0.1920321,0.4688251,0.862164,-0.1522457,0.8821101,-0.4457612,0.02783555,0.9997312,0.1810003
0.03034,200.8691,5,-314.424,-506.591,-323.2263,-540.3102,-320.5909,-528.3037,-327.7408,-521.4526,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2431256,-0.009274162,-0.9699504,-0.06582171,0.9978071,0.006958207,-0.04038426,1.596308,-0.01518953,0,0,1,0,1,0,0,0,0,0.3564224,-0.02700303,0.9339347,-0.06803329,0.9961787,0.0547666,0.04724061,1.261403,0.2328756,0.1911612,0.4691079,0.8622037,-0.1516028,0.8819728,-0.4462517,0.02785075,0.9997057,0.1808482
0.0404615,200.8886,5,-314.442,-506.6382,-323.2263,-540.3102,-320.5777,-528.2664,-327.704,-521.4377,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2427956,-0.009457634,-0.9700314,-0.06580226,0.9978099,0.006741618,-0.04025528,1.596398,-0.01543013,0,0,1,0,1,0,0,0,0,0.3539059,-0.02772317,0.9348701,-0.06707989,0.996234,0.05493676,0.047544,1.261516,0.2330114,0.1898659,0.4690827,0.8625035,-0.1508041,0.8819919,-0.4464846,0.02746946,0.9995672,0.1804541
0.0509487,200.7347,5,-314.4606,-506.6873,-323.2263,-540.3102,-320.5639,-528.2277,-327.6659,-521.4224,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2424869,-0.009426493,-0.9701091,-0.06548862,0.997831,0.006673563,-0.04006924,1.596396,-0.0156563,0,0,1,0,1,0,0,0,0,0.3528574,-0.02743233,0.9352748,-0.06707375,0.996257,0.05452635,0.04763132,1.261538,0.2327417,0.1889925,0.4695481,0.8624421,-0.1501049,0.8817622,-0.4471733,0.02729106,0.9994568,0.1802158
0.0609437,200.6703,5,-314.4782,-506.734,-323.2263,-540.3102,-320.5508,-528.1908,-327.6296,-521.4077,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2422357,-0.009044401,-0.9701754,-0.06525826,0.9978439,0.006991494,-0.03991368,1.59644,-0.01583281,0,0,1,0,1,0,0,0,0,0.35322,-0.02694508,0.9351522,-0.06648136,0.9963351,0.05381892,0.04801798,1.261749,0.2329074,0.1876858,0.4693697,0.8628245,-0.1489536,0.8818765,-0.4473327,0.02702719,0.9993823,0.1800695
0.0703105,200.6922,5,-314.4948,-506.7779,-323.2263,-540.3102,-320.5386,-528.1563,-327.5956,-521.3939,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2419163,-0.008188891,-0.9702626,-0.06497603,0.9978565,0.007778745,-0.03976201,1.596381,-0.01590713,0,0,1,0,1,0,0,0,0,0.3527457,-0.02657608,0.9353417,-0.06719735,0.9962962,0.05365016,0.04811656,1.261756,0.2329151,0.1865427,0.4690053,0.8632704,-0.1484198,0.8820627,-0.4471432,0.0271197,0.9993668,0.179908
0.0835916,200.663,5,-314.5182,-506.84,-323.2263,-540.3102,-320.5211,-528.1072,-327.5474,-521.3745,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2414201,-0.007523597,-0.9703915,-0.06506364,0.9978454,0.008450489,-0.03966228,1.596378,-0.01610571,0,0,1,0,1,0,0,0,0,0.351428,-0.02654644,0.9358385,-0.06752577,0.9962757,0.05361824,0.04795116,1.261788,0.2327034,0.1856595,0.4684597,0.863757,-0.1478326,0.8823511,-0.4467685,0.02668965,0.9989683,0.1794211
0.1078272,200.5823,5,-314.5608,-506.9534,-323.2263,-540.3102,-320.4894,-528.0178,-327.4594,-521.3389,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2407413,-0.006571352,-0.9705671,-0.06527712,0.9978226,0.009435571,-0.03972849,1.596435,-0.01657431,0,0,1,0,1,0,0,0,0,0.3491172,-0.02658362,0.9367019,-0.06765933,0.9962735,0.0534915,0.04810244,1.261826,0.2329313,0.184046,0.4677754,0.8644728,-0.1471039,0.8826998,-0.4463199,0.02684343,0.9989906,0.1794068
0.1253394,200.4409,5,-314.5914,-507.0355,-323.2263,-540.3102,-320.4664,-527.9531,-327.3958,-521.3132,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2401153,-0.006365479,-0.9707236,-0.0653892,0.9978133,0.009631359,-0.03978699,1.596412,-0.01687434,0,0,1,0,1,0,0,0,0,0.3481879,-0.02657446,0.937048,-0.06732132,0.9963083,0.05327029,0.04781073,1.261815,0.2327374,0.1834505,0.4676912,0.864645,-0.1468862,0.8827392,-0.4463138,0.02663755,0.9989509,0.1792539
0.1360534,200.384,5,-314.61,-507.0857,-323.2263,-540.3102,-320.4524,-527.9136,-327.3569,-521.2975,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2397559,-0.006147794,-0.9708139,-0.06563714,0.9977945,0.009891344,-0.03992251,1.596367,-0.01701532,0,0,1,0,1,0,0,0,0,0.3473038,-0.02651206,0.9373778,-0.06755355,0.9962959,0.05320742,0.04782355,1.261955,0.2330357,0.183073,0.4677825,0.8646755,-0.1467814,0.8826878,-0.4464498,0.02637404,0.9988558,0.179072
0.145917,200.33,5,-314.6271,-507.1319,-323.2263,-540.3102,-320.4395,-527.8772,-327.3211,-521.283,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2392263,-0.006388369,-0.970943,-0.06598543,0.9977735,0.00969295,-0.03990416,1.596257,-0.01708366,0,0,1,0,1,0,0,0,0,0.346026,-0.02621712,0.9378586,-0.06771097,0.9963051,0.05283313,0.04749912,1.261888,0.2329473,0.1824155,0.4678216,0.8647934,-0.1466377,0.8826585,-0.4465549,0.02666563,0.9989355,0.1795408
0.1557774,200.2517,5,-314.6442,-507.1782,-323.2263,-540.3102,-320.4265,-527.8408,-327.2853,-521.2686,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2388119,-0.006999529,-0.9710407,-0.06627534,0.9977598,0.009107229,-0.04000575,1.59618,-0.01725284,0,0,1,0,1,0,0,0,0,0.3446842,-0.02609511,0.9383559,-0.06773508,0.9963164,0.05258793,0.04704756,1.261898,0.2327917,0.1819235,0.4675692,0.8650334,-0.1460536,0.8828042,-0.4464585,0.02632815,0.998846,0.1793995
0.1658073,200.1697,5,-314.6615,-507.2253,-323.2263,-540.3102,-320.4134,-527.8038,-327.2488,-521.2538,,,False,0,0,0,FALSE,FALSE,FALSE,-0.2378,-0.007802328,-0.971283,-0.06651996,0.9977508,0.008271191,-0.03998928,1.596109,-0.01739196,0,0,1,0,1,0,0,0,0,0.3433604,-0.02573996,0.9388509,-0.0678971,0.9963286,0.0521474,0.04703367,1.262098,0.2331291,0.1813307,0.4674411,0.8652271,-0.1456999,0.8828725,-0.4464389,0.02600569,0.9987754,0.1792529
