timestep, heading, speed, pos_X, pos_Z,goal_X,goal_z,npc1_x,npc1_z,npc2_x,npc2_z,pacesetter_x,pacesetter_z,thruAperture, crtl_pad_X, ctrl_pad_Y, ctrl_Trigger, ctrl_Pad_Click, ctrl_Pad_Touch, ctrl_Grip_Click,head_6DOF_fwd_X,head_6DOF_fwd_Y,head_6DOF_fwd_Z,head_6DOF_up_X,head_6DOF_up_Y,head_6DOF_up_Z,head_6DOF_pos_X,head_6DOF_pos_Y,head_6DOF_pos_Z,ctrl_6DOF_fwd_X,ctrl_6DOF_fwd_Y,ctrl_6DOF_fwd_Z,ctrl_6DOF_up_X,ctrl_6DOF_up_Y,ctrl_6DOF_up_Z,ctrl_6DOF_pos_X,ctrl_6DOF_pos_Y,ctrl_6DOF_pos_Z,chest_6DOF_fwd_X,chest_6DOF_fwd_Y,chest_6DOF_fwd_Z,chest_6DOF_up_X,chest_6DOF_up_Y,chest_6DOF_up_Z,chest_6DOF_pos_X,chest_6DOF_pos_Y,chest_6DOF_pos_Zchair_6DOF_fwd_X,chair_6DOF_fwd_Y,chair_6DOF_fwd_Z,chair_6DOF_up_X,chair_6DOF_up_Y,chair_6DOF_up_Z,chair_6DOF_pos_X,chair_6DOF_pos_Y,chair_6DOF_pos_Z
0,266.8481,5,-739.1517,123.3994,-771.3096,109.5839,-759.8345,113.7218,-759.907,123.7215,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9116796,-0.01998065,-0.4104161,-0.03792079,0.9986458,0.03561754,0.023307,1.56684,0.09493348,0,0,1,0,1,0,0,0,0,0.9091062,0.03492116,0.4150981,-0.06474288,0.9962159,0.0579842,0.2387269,1.315171,0.1917543,0.8769385,0.1343622,0.4614388,-0.1734286,0.983903,0.04309746,0.2272207,1.045504,0.1396042
0.0297086,245.4586,5,-739.2868,123.3377,-771.3096,109.5839,-759.7181,113.7752,-759.7899,123.6699,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9117399,-0.02076271,-0.4102432,-0.03872839,0.9986179,0.03553065,0.02333831,1.566961,0.09522116,0,0,1,0,1,0,0,0,0,0.9089904,0.03423414,0.415409,-0.06403206,0.9962603,0.05801129,0.238461,1.315105,0.1918673,0.876796,0.1347893,0.4615849,-0.1738751,0.9838289,0.04298972,0.226809,1.045511,0.1399
0.0442996,245.4396,5,-739.3531,123.3074,-771.3096,109.5839,-759.661,113.8014,-759.7324,123.6445,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9118691,-0.02093908,-0.4099469,-0.03898258,0.9986018,0.03570512,0.02329572,1.566932,0.09525129,0,0,1,0,1,0,0,0,0,0.9090067,0.03396345,0.4153957,-0.06369398,0.9962871,0.05792283,0.2385626,1.315182,0.1922145,0.876635,0.1350016,0.4618288,-0.1741578,0.9837782,0.04300533,0.2268746,1.045543,0.1400256
0.0590325,245.4407,5,-739.4202,123.2767,-771.3096,109.5839,-759.6033,113.8279,-759.6743,123.6189,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9118289,-0.0212148,-0.4100218,-0.03933199,0.9985846,0.0358012,0.02315683,1.566875,0.09526565,0,0,1,0,1,0,0,0,0,0.9087051,0.03380992,0.4160674,-0.06346121,0.9963184,0.05763987,0.2382951,1.315166,0.1924072,0.8766724,0.1354035,0.46164,-0.1745923,0.9837002,0.04302869,0.2265067,1.045514,0.1403282
0.0739591,245.3984,5,-739.488,123.2457,-771.3096,109.5839,-759.5449,113.8547,-759.6155,123.5929,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9117858,-0.02104392,-0.4101264,-0.03924564,0.9985805,0.03601225,0.02313402,1.56683,0.09533159,0,0,1,0,1,0,0,0,0,0.9085962,0.0334308,0.4163357,-0.06311204,0.9963353,0.05772999,0.2383377,1.315058,0.1926348,0.8767371,0.1355658,0.4614694,-0.1747004,0.9836852,0.04293286,0.2267427,1.045631,0.1406018
0.1053235,245.3819,5,-739.6306,123.1803,-771.3096,109.5839,-759.4221,113.911,-759.4919,123.5384,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9114377,-0.02120492,-0.4108917,-0.03902235,0.9986244,0.03502306,0.02300958,1.566812,0.09537227,0,0,1,0,1,0,0,0,0,0.9083624,0.03300739,0.4168792,-0.06271826,0.9963578,0.05777151,0.2380112,1.314957,0.1932001,0.876828,0.1362986,0.4610807,-0.1753453,0.9835806,0.04269758,0.2262239,1.045717,0.1411152
0.1263982,245.348,5,-739.7264,123.1364,-771.3096,109.5839,-759.3395,113.9489,-759.4088,123.5017,,,False,0,0,0,FALSE,FALSE,FALSE,-0.911402,-0.02119686,-0.4109712,-0.03923569,0.9985989,0.03550695,0.02295249,1.566957,0.09553953,0,0,1,0,1,0,0,0,0,0.9083602,0.03276449,0.416903,-0.06242912,0.9963791,0.05771671,0.2379195,1.31498,0.1933027,0.876784,0.1369079,0.4609838,-0.1759123,0.9834882,0.04249558,0.2258399,1.045796,0.1413506
0.1396674,245.3467,5,-739.7867,123.1087,-771.3096,109.5839,-759.2876,113.9727,-759.3565,123.4786,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9113571,-0.02113991,-0.4110736,-0.03906722,0.9986144,0.03525785,0.0229111,1.566948,0.09558005,0,0,1,0,1,0,0,0,0,0.9082677,0.03261023,0.4171165,-0.06221068,0.9964016,0.0575644,0.2379591,1.315148,0.1935562,0.8768141,0.1369911,0.4609017,-0.1759061,0.9834967,0.04232264,0.2260533,1.045945,0.1413723
0.1536504,245.3333,5,-739.8502,123.0795,-771.3096,109.5839,-759.2328,113.9978,-759.3014,123.4543,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9114106,-0.02109891,-0.4109569,-0.03893615,0.9986257,0.03508133,0.02286756,1.566909,0.09554277,0,0,1,0,1,0,0,0,0,0.9082047,0.03229327,0.4172785,-0.06189331,0.9964195,0.05759738,0.2377694,1.315131,0.1934887,0.8767691,0.1373493,0.4608808,-0.1761323,0.9834709,0.0419812,0.2258613,1.045969,0.1414606
0.1666468,245.3234,5,-739.9092,123.0524,-771.3096,109.5839,-759.1819,114.0212,-759.2502,123.4317,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9112947,-0.02109076,-0.4112144,-0.03872749,0.9986504,0.03460447,0.02277087,1.566895,0.09557691,0,0,1,0,1,0,0,0,0,0.9083897,0.03267378,0.4168461,-0.06215624,0.9964175,0.05734817,0.2377515,1.315174,0.193502,0.8767527,0.1375165,0.4608622,-0.1762638,0.9834518,0.04187562,0.2256736,1.046005,0.1415438
0.1793992,245.3503,5,-739.9672,123.0258,-771.3096,109.5839,-759.132,114.0441,-759.1999,123.4095,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9112924,-0.02160964,-0.4111928,-0.03931909,0.9986255,0.03465831,0.02248956,1.56686,0.09560162,0,0,1,0,1,0,0,0,0,0.9084459,0.03248638,0.4167381,-0.06192072,0.9964346,0.05730475,0.2375975,1.315246,0.1936325,0.8769205,0.138359,0.4602903,-0.1768973,0.9833571,0.04142743,0.2256532,1.046207,0.1418081
0.1926858,245.3573,5,-740.0275,122.9981,-771.3096,109.5839,-759.08,114.0679,-759.1476,123.3864,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9113554,-0.02236533,-0.4110123,-0.03984338,0.9986271,0.03400592,0.02227068,1.566866,0.09573266,0,0,1,0,1,0,0,0,0,0.9083935,0.03250401,0.4168512,-0.06182564,0.9964563,0.05703034,0.2372145,1.315045,0.1936825,0.8768016,0.139489,0.460176,-0.177899,0.983197,0.0409341,0.225495,1.046259,0.1419397
0.2072473,245.3502,5,-740.0937,122.9678,-771.3096,109.5839,-759.0229,114.0941,-759.0901,123.3611,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9117696,-0.02123212,-0.410153,-0.03862986,0.998669,0.0341767,0.02211149,1.566916,0.09571335,0,0,1,0,1,0,0,0,0,0.9085772,0.03249157,0.4164515,-0.06167301,0.9964785,0.0568074,0.2370408,1.315048,0.193521,0.8766696,0.1402177,0.4602059,-0.178432,0.9831241,0.04036117,0.2251857,1.046288,0.1421464
0.2307879,245.3754,5,-740.2007,122.9187,-771.3096,109.5839,-758.9308,114.1364,-758.9974,123.3201,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9122128,-0.02074757,-0.4091913,-0.03798829,0.9986979,0.03404973,0.02190857,1.567023,0.09619161,0,0,1,0,1,0,0,0,0,0.9088626,0.03205707,0.4158621,-0.06109487,0.9965199,0.05670467,0.236828,1.314981,0.1934428,0.8766741,0.1411211,0.459921,-0.1790699,0.983035,0.03970014,0.2251239,1.046327,0.1422766
0.2522577,245.4129,5,-740.2983,122.874,-771.3096,109.5839,-758.8467,114.1749,-758.9128,123.2828,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9127714,-0.02090655,-0.4079355,-0.03800146,0.9987043,0.0338465,0.02163937,1.566997,0.09637173,0,0,1,0,1,0,0,0,0,0.9091147,0.03225199,0.4152955,-0.06112795,0.9965339,0.05642272,0.2365385,1.315011,0.1934353,0.8766695,0.1414807,0.4598192,-0.1792446,0.9830202,0.0392761,0.2248843,1.046379,0.1422707
0.274982,245.4485,5,-740.4016,122.8268,-771.3096,109.5839,-758.7578,114.2158,-758.8232,123.2433,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9131603,-0.02127482,-0.4070451,-0.03855772,0.9986674,0.0343031,0.02111818,1.56706,0.09664734,0,0,1,0,1,0,0,0,0,0.9092985,0.03254021,0.4148702,-0.06139253,0.9965191,0.05639644,0.2361136,1.315026,0.1933889,0.8767884,0.141911,0.4594597,-0.1794798,0.9829926,0.03888984,0.2245989,1.046463,0.1424146
0.2971998,245.475,5,-740.5027,122.7807,-771.3096,109.5839,-758.6707,114.2557,-758.7357,123.2046,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9137747,-0.02093775,-0.4056818,-0.0383876,0.9986525,0.03492412,0.02076232,1.567078,0.09687937,0,0,1,0,1,0,0,0,0,0.9096541,0.03269703,0.4140779,-0.06133777,0.9965416,0.05605754,0.2357377,1.315264,0.1931563,0.8769829,0.1427367,0.4588325,-0.1802097,0.9828672,0.03868425,0.2243838,1.046593,0.1424212
0.3192979,245.5248,5,-740.6033,122.7349,-771.3096,109.5839,-758.5842,114.2954,-758.6486,123.1662,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9144714,-0.02146578,-0.4040813,-0.03894545,0.9986251,0.03508758,0.02008952,1.567149,0.09705027,0,0,1,0,1,0,0,0,0,0.9099459,0.03269121,0.4134365,-0.06128318,0.9965436,0.05608154,0.2353832,1.315343,0.1931881,0.8771377,0.1434659,0.4583091,-0.1809331,0.9827356,0.038651,0.2240503,1.04664,0.142287
0.3412816,245.5652,5,-740.7034,122.6895,-771.3096,109.5839,-758.4981,114.3349,-758.5619,123.128,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9150978,-0.0221656,-0.4026223,-0.03966855,0.9985932,0.0351848,0.01947605,1.567072,0.09724487,0,0,1,0,1,0,0,0,0,0.9103399,0.03299321,0.4125443,-0.06155863,0.9965233,0.05614129,0.2351248,1.315484,0.1931592,0.8773385,0.1435652,0.4578931,-0.1811496,0.9826826,0.03898403,0.2238248,1.04674,0.1423773
0.3640953,245.6211,5,-740.8073,122.6424,-771.3096,109.5839,-758.4088,114.3758,-758.472,123.0883,,,False,0,0,0,FALSE,FALSE,FALSE,-0.9157833,-0.02236327,-0.40105,-0.03973242,0.9985957,0.03504406,0.01898184,1.567078,0.09753612,0,0,1,0,1,0,0,0,0,0.9104776,0.03303742,0.4122369,-0.06168187,0.9965028,0.05637067,0.2347685,1.315302,0.1929397,0.8776504,0.1437299,0.4572433,-0.1811993,0.9826765,0.03890639,0.2234929,1.046654,0.1420477
