part_num,block,experience,trial_num,ratio,choice,decision,starting_ratio,ending_ratio,direction,correlation,variance
102,1,trained,1,0.6,0,0,0.6,1.4,ascending,0.866025404,0.277777778
102,1,trained,2,0.7,0,0,0.6,1.4,ascending,0.866025404,0.277777778
102,1,trained,3,0.8,0,0,0.6,1.4,ascending,0.866025404,0.277777778
102,1,trained,4,0.9,0,0,0.6,1.4,ascending,0.866025404,0.277777778
102,1,trained,5,1,0,0,0.6,1.4,ascending,0.866025404,0.277777778
102,1,trained,6,1.1,0,1,0.6,1.4,ascending,0.866025404,0.277777778
102,1,trained,7,1.2,0,1,0.6,1.4,ascending,0.866025404,0.277777778
102,1,trained,8,1.3,0,1,0.6,1.4,ascending,0.866025404,0.277777778
102,1,trained,9,1.4,0,1,0.6,1.4,ascending,0.866025404,0.277777778
102,1,trained,10,1.4,0,1,1.4,0.6,descending,0.730296743,0.25
102,1,trained,11,1.3,0,1,1.4,0.6,descending,0.730296743,0.25
102,1,trained,12,1.2,1,0,1.4,0.6,descending,0.730296743,0.25
102,1,trained,13,1.1,0,1,1.4,0.6,descending,0.730296743,0.25
102,1,trained,14,1,0,0,1.4,0.6,descending,0.730296743,0.25
102,1,trained,15,0.9,0,0,1.4,0.6,descending,0.730296743,0.25
102,1,trained,16,0.8,0,0,1.4,0.6,descending,0.730296743,0.25
102,1,trained,17,0.7,0,0,1.4,0.6,descending,0.730296743,0.25
102,1,trained,18,0.6,0,0,1.4,0.6,descending,0.730296743,0.25
102,1,trained,19,0.6,0,0,0.6,1.4,ascending,0.821583836,0.25
102,1,trained,20,0.7,0,0,0.6,1.4,ascending,0.821583836,0.25
102,1,trained,21,0.8,0,0,0.6,1.4,ascending,0.821583836,0.25
102,1,trained,22,0.9,0,0,0.6,1.4,ascending,0.821583836,0.25
102,1,trained,23,1,0,0,0.6,1.4,ascending,0.821583836,0.25
102,1,trained,24,1.1,1,0,0.6,1.4,ascending,0.821583836,0.25
102,1,trained,25,1.2,0,1,0.6,1.4,ascending,0.821583836,0.25
102,1,trained,26,1.3,0,1,0.6,1.4,ascending,0.821583836,0.25
102,1,trained,27,1.4,0,1,0.6,1.4,ascending,0.821583836,0.25
102,1,trained,28,1.4,0,1,1.4,0.6,descending,0.866025404,0.277777778
102,1,trained,29,1.3,0,1,1.4,0.6,descending,0.866025404,0.277777778
102,1,trained,30,1.2,0,1,1.4,0.6,descending,0.866025404,0.277777778
102,1,trained,31,1.1,0,1,1.4,0.6,descending,0.866025404,0.277777778
